NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOBP_SPECIES_GO:0016078_TR_CATABOLIC_PROCESS	15		Rejected!	
GOBP_SPECIES_GO:0016079_SYNAPTIC_VESICLE_EXOCYTOSIS	128	75		
GOBP_SPECIES_GO:0016080_SYNAPTIC_VESICLE_TARGETING	11		Rejected!	
GOBP_SPECIES_GO:0016081_SYNAPTIC_VESICLE_DOCKING	41	17		
GOBP_SPECIES_GO:0016082_SYNAPTIC_VESICLE_PRIMING	18		Rejected!	
GOBP_SPECIES_GO:0016093_POLYPRENOL_METABOLIC_PROCESS	5		Rejected!	
GOBP_SPECIES_GO:0016094_POLYPRENOL_BIOSYNTHETIC_PROCESS	3		Rejected!	
GOBP_SPECIES_GO:0016101_DITERPENOID_METABOLIC_PROCESS	25	17		
GOBP_SPECIES_GO:0016102_DITERPENOID_BIOSYNTHETIC_PROCESS	2		Rejected!	
GOBP_SPECIES_GO:0016106_SESQUITERPENOID_BIOSYNTHETIC_PROCESS	19		Rejected!	
GOBP_SPECIES_GO:0016108_TETRATERPENOID_METABOLIC_PROCESS	4		Rejected!	
GOBP_SPECIES_GO:0016114_TERPENOID_BIOSYNTHETIC_PROCESS	24	16		
GOBP_SPECIES_GO:0016116_CAROTENOID_METABOLIC_PROCESS	4		Rejected!	
GOBP_SPECIES_GO:0016119_CAROTENE_METABOLIC_PROCESS	2		Rejected!	
GOBP_SPECIES_GO:0016121_CAROTENE_CATABOLIC_PROCESS	2		Rejected!	
GOBP_SPECIES_GO:0016125_STEROL_METABOLIC_PROCESS	85	46		
GOBP_SPECIES_GO:0016126_STEROL_BIOSYNTHETIC_PROCESS	50	30		
GOBP_SPECIES_GO:0016137_GLYCOSIDE_METABOLIC_PROCESS	15		Rejected!	
GOBP_SPECIES_GO:0016139_GLYCOSIDE_CATABOLIC_PROCESS	15		Rejected!	
GOBP_SPECIES_GO:0016180_SNR_PROCESSING	38	27		
GOBP_SPECIES_GO:0016182_SYNAPTIC_VESICLE_BUDDING_FROM_ENDOSOME	3		Rejected!	
GOBP_SPECIES_GO:0016188_SYNAPTIC_VESICLE_MATURATION	7		Rejected!	
GOBP_SPECIES_GO:0016189_SYNAPTIC_VESICLE_TO_ENDOSOME_FUSION	9		Rejected!	
GOBP_SPECIES_GO:0016192_VESICLE-MEDIATED_TRANSPORT	1202		Rejected!	
GOBP_SPECIES_GO:0016197_ENDOSOMAL_TRANSPORT	328	196		
GOBP_SPECIES_GO:0016198_AXON_CHOICE_POINT_RECOGNITION	135	73		
GOBP_SPECIES_GO:0016199_AXON_MIDLINE_CHOICE_POINT_RECOGNITION	126	67		
GOBP_SPECIES_GO:0016200_SYNAPTIC_TARGET_ATTRACTION	23		Rejected!	
GOBP_SPECIES_GO:0016201_SYNAPTIC_TARGET_INHIBITION	49	33		
GOBP_SPECIES_GO:0016202_REGULATION_OF_STRIATED_MUSCLE_TISSUE_DEVELOPMENT	15		Rejected!	
GOBP_SPECIES_GO:0016203_MUSCLE_ATTACHMENT	102	54		
GOBP_SPECIES_GO:0016204_DETERMINATION_OF_MUSCLE_ATTACHMENT_SITE	12		Rejected!	
GOBP_SPECIES_GO:0016226_IRON-SULFUR_CLUSTER_ASSEMBLY	29	22		
GOBP_SPECIES_GO:0016233_TELOMERE_CAPPING	8		Rejected!	
GOBP_SPECIES_GO:0016236_MACROAUTOPHAGY	276	163		
GOBP_SPECIES_GO:0016237_LYSOSOMAL_MICROAUTOPHAGY	11		Rejected!	
GOBP_SPECIES_GO:0016239_POSITIVE_REGULATION_OF_MACROAUTOPHAGY	60	27		
GOBP_SPECIES_GO:0016241_REGULATION_OF_MACROAUTOPHAGY	105	52		
GOBP_SPECIES_GO:0016242_NEGATIVE_REGULATION_OF_MACROAUTOPHAGY	32	22		
GOBP_SPECIES_GO:0016243_REGULATION_OF_AUTOPHAGOSOME_SIZE	6		Rejected!	
GOBP_SPECIES_GO:0016255_ATTACHMENT_OF_GPI_ANCHOR_TO_PROTEIN	6		Rejected!	
GOBP_SPECIES_GO:0016264_GAP_JUNCTION_ASSEMBLY	9		Rejected!	
GOBP_SPECIES_GO:0016266_O-GLYCAN_PROCESSING	9		Rejected!	
GOBP_SPECIES_GO:0016267_O-GLYCAN_PROCESSING,_CORE_1	3		Rejected!	
GOBP_SPECIES_GO:0016310_PHOSPHORYLATION	984		Rejected!	
GOBP_SPECIES_GO:0016311_DEPHOSPHORYLATION	287	177		
GOBP_SPECIES_GO:0016318_OMMATIDIAL_ROTATION	122	69		
GOBP_SPECIES_GO:0016319_MUSHROOM_BODY_DEVELOPMENT	241	134		
GOBP_SPECIES_GO:0016320_ENDOPLASMIC_RETICULUM_MEMBRANE_FUSION	23		Rejected!	
GOBP_SPECIES_GO:0016321_FEMALE_MEIOSIS_CHROMOSOME_SEGREGATION	15		Rejected!	
GOBP_SPECIES_GO:0016322_NEURON_REMODELING	223	136		
GOBP_SPECIES_GO:0016325_OOCYTE_MICROTUBULE_CYTOSKELETON_ORGANIZATION	84	50		
GOBP_SPECIES_GO:0016330_SECOND_MITOTIC_WAVE_INVOLVED_IN_COMPOUND_EYE_MORPHOGENESIS	25		Rejected!	
GOBP_SPECIES_GO:0016331_MORPHOGENESIS_OF_EMBRYONIC_EPITHELIUM	379	226		
GOBP_SPECIES_GO:0016332_ESTABLISHMENT_OR_MAINTENANCE_OF_POLARITY_OF_EMBRYONIC_EPITHELIUM	20	15		
GOBP_SPECIES_GO:0016333_MORPHOGENESIS_OF_FOLLICULAR_EPITHELIUM	170	100		
GOBP_SPECIES_GO:0016334_ESTABLISHMENT_OR_MAINTENANCE_OF_POLARITY_OF_FOLLICULAR_EPITHELIUM	93	61		
GOBP_SPECIES_GO:0016335_MORPHOGENESIS_OF_LARVAL_IMAGINAL_DISC_EPITHELIUM	32	24		
GOBP_SPECIES_GO:0016336_ESTABLISHMENT_OR_MAINTENANCE_OF_POLARITY_OF_LARVAL_IMAGINAL_DISC_EPITHELIUM	30	22		
GOBP_SPECIES_GO:0016338_CALCIUM-INDEPENDENT_CELL-CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL-ADHESION_MOLECULES	2		Rejected!	
GOBP_SPECIES_GO:0016339_CALCIUM-DEPENDENT_CELL-CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	45	30		
GOBP_SPECIES_GO:0016340_CALCIUM-DEPENDENT_CELL-MATRIX_ADHESION	7		Rejected!	
GOBP_SPECIES_GO:0016344_MEIOTIC_CHROMOSOME_MOVEMENT_TOWARDS_SPINDLE_POLE	4		Rejected!	
GOBP_SPECIES_GO:0016346_MALE_MEIOTIC_CHROMOSOME_MOVEMENT_TOWARDS_SPINDLE_POLE	4		Rejected!	
GOBP_SPECIES_GO:0016348_IMAGINAL_DISC-DERIVED_LEG_JOINT_MORPHOGENESIS	37	23		
GOBP_SPECIES_GO:0016358_DENDRITE_DEVELOPMENT	577	319		
GOBP_SPECIES_GO:0016360_SENSORY_ORGAN_PRECURSOR_CELL_FATE_DETERMINATION	67	38		
GOBP_SPECIES_GO:0016441_POST-TRANSCRIPTIONAL_GENE_SILENCING	167	93		
GOBP_SPECIES_GO:0016444_SOMATIC_CELL_D_RECOMBINATION	2		Rejected!	
GOBP_SPECIES_GO:0016476_REGULATION_OF_EMBRYONIC_CELL_SHAPE	83	59		
GOBP_SPECIES_GO:0016477_CELL_MIGRATION	921		Rejected!	
GOBP_SPECIES_GO:0016482_CYTOSOLIC_TRANSPORT	190	120		
GOBP_SPECIES_GO:0016485_PROTEIN_PROCESSING	174	126		
GOBP_SPECIES_GO:0016486_PEPTIDE_HORMONE_PROCESSING	38	27		
GOBP_SPECIES_GO:0016540_PROTEIN_AUTOPROCESSING	24	16		
GOBP_SPECIES_GO:0016543_MALE_COURTSHIP_BEHAVIOR,_ORIENTATION_PRIOR_TO_LEG_TAPPING_AND_WING_VIBRATION	14		Rejected!	
GOBP_SPECIES_GO:0016544_MALE_COURTSHIP_BEHAVIOR,_TAPPING_TO_DETECT_PHEROMONE	7		Rejected!	
GOBP_SPECIES_GO:0016545_MALE_COURTSHIP_BEHAVIOR,_VEINED_WING_VIBRATION	52	31		
GOBP_SPECIES_GO:0016546_MALE_COURTSHIP_BEHAVIOR,_PROBOSCIS-MEDIATED_LICKING	7		Rejected!	
GOBP_SPECIES_GO:0016553_BASE_CONVERSION_OR_SUBSTITUTION_EDITING	2		Rejected!	
GOBP_SPECIES_GO:0016556_MR_MODIFICATION	23	16		
GOBP_SPECIES_GO:0016558_PROTEIN_IMPORT_INTO_PEROXISOME_MATRIX	29	17		
GOBP_SPECIES_GO:0016559_PEROXISOME_FISSION	6		Rejected!	
GOBP_SPECIES_GO:0016560_PROTEIN_IMPORT_INTO_PEROXISOME_MATRIX,_DOCKING	4		Rejected!	
GOBP_SPECIES_GO:0016567_PROTEIN_UBIQUITINATION	554	321		
GOBP_SPECIES_GO:0016570_HISTONE_MODIFICATION	473	265		
GOBP_SPECIES_GO:0016571_HISTONE_METHYLATION	217	123		
GOBP_SPECIES_GO:0016573_HISTONE_ACETYLATION	276	145		
GOBP_SPECIES_GO:0016574_HISTONE_UBIQUITINATION	43	23		
GOBP_SPECIES_GO:0016575_HISTONE_DEACETYLATION	50	32		
GOBP_SPECIES_GO:0016577_HISTONE_DEMETHYLATION	31	21		
GOBP_SPECIES_GO:0016578_HISTONE_DEUBIQUITINATION	13		Rejected!	
GOBP_SPECIES_GO:0016579_PROTEIN_DEUBIQUITINATION	111	56		
GOBP_SPECIES_GO:0016601_RAC_PROTEIN_SIGNAL_TRANSDUCTION	21		Rejected!	
GOBP_SPECIES_GO:0016925_PROTEIN_SUMOYLATION	39	21		
GOBP_SPECIES_GO:0016926_PROTEIN_DESUMOYLATION	20		Rejected!	
GOBP_SPECIES_GO:0016973_POLY(A)+_MR_EXPORT_FROM_NUCLEUS	18		Rejected!	
GOBP_SPECIES_GO:0017004_CYTOCHROME_COMPLEX_ASSEMBLY	26	25		
GOBP_SPECIES_GO:0017015_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY	3		Rejected!	
GOBP_SPECIES_GO:0017038_PROTEIN_IMPORT	181	101		
GOBP_SPECIES_GO:0017055_NEGATIVE_REGULATION_OF_R_POLYMERASE_II_TRANSCRIPTION_PREINITIATION_COMPLEX_ASSEMBLY	6		Rejected!	
GOBP_SPECIES_GO:0017062_RESPIRATORY_CHAIN_COMPLEX_III_ASSEMBLY	7		Rejected!	
GOBP_SPECIES_GO:0017085_RESPONSE_TO_INSECTICIDE	35	24		
GOBP_SPECIES_GO:0017121_PLASMA_MEMBRANE_PHOSPHOLIPID_SCRAMBLING	10		Rejected!	
GOBP_SPECIES_GO:0017126_NUCLEOLOGENESIS	2		Rejected!	
GOBP_SPECIES_GO:0017143_INSECTICIDE_METABOLIC_PROCESS	2		Rejected!	
GOBP_SPECIES_GO:0017145_STEM_CELL_DIVISION	177	101		
GOBP_SPECIES_GO:0017148_NEGATIVE_REGULATION_OF_TRANSLATION	192	99		
GOBP_SPECIES_GO:0017156_CALCIUM-ION_REGULATED_EXOCYTOSIS	19		Rejected!	
GOBP_SPECIES_GO:0017157_REGULATION_OF_EXOCYTOSIS	97	59		
GOBP_SPECIES_GO:0017158_REGULATION_OF_CALCIUM_ION-DEPENDENT_EXOCYTOSIS	15		Rejected!	
GOBP_SPECIES_GO:0017182_PEPTIDYL-DIPHTHAMIDE_METABOLIC_PROCESS	8		Rejected!	
GOBP_SPECIES_GO:0017183_PEPTIDYL-DIPHTHAMIDE_BIOSYNTHETIC_PROCESS_FROM_PEPTIDYL-HISTIDINE	8		Rejected!	
GOBP_SPECIES_GO:0017185_PEPTIDYL-LYSINE_HYDROXYLATION	5		Rejected!	
GOBP_SPECIES_GO:0017186_PEPTIDYL-PYROGLUTAMIC_ACID_BIOSYNTHETIC_PROCESS,_USING_GLUTAMINYL-PEPTIDE_CYCLOTRANSFERASE	2		Rejected!	
GOBP_SPECIES_GO:0017187_PEPTIDYL-GLUTAMIC_ACID_CARBOXYLATION	4		Rejected!	
GOBP_SPECIES_GO:0017196_N-TERMINAL_PEPTIDYL-METHIONINE_ACETYLATION	14		Rejected!	
GOBP_SPECIES_GO:0018016_N-TERMINAL_PEPTIDYL-PROLINE_DIMETHYLATION	2		Rejected!	
GOBP_SPECIES_GO:0018021_PEPTIDYL-HISTIDINE_METHYLATION	4		Rejected!	
GOBP_SPECIES_GO:0018022_PEPTIDYL-LYSINE_METHYLATION	196	114		
GOBP_SPECIES_GO:0018023_PEPTIDYL-LYSINE_TRIMETHYLATION	32	19		
GOBP_SPECIES_GO:0018026_PEPTIDYL-LYSINE_MONOMETHYLATION	5		Rejected!	
GOBP_SPECIES_GO:0018027_PEPTIDYL-LYSINE_DIMETHYLATION	35	18		
GOBP_SPECIES_GO:0018057_PEPTIDYL-LYSINE_OXIDATION	3		Rejected!	
GOBP_SPECIES_GO:0018094_PROTEIN_POLYGLYCYLATION	17		Rejected!	
GOBP_SPECIES_GO:0018095_PROTEIN_POLYGLUTAMYLATION	11		Rejected!	
GOBP_SPECIES_GO:0018105_PEPTIDYL-SERINE_PHOSPHORYLATION	113	72		
GOBP_SPECIES_GO:0018107_PEPTIDYL-THREONINE_PHOSPHORYLATION	52	24		
GOBP_SPECIES_GO:0018108_PEPTIDYL-TYROSINE_PHOSPHORYLATION	131	68		
GOBP_SPECIES_GO:0018117_PROTEIN_ADENYLYLATION	4		Rejected!	
GOBP_SPECIES_GO:0018126_PROTEIN_HYDROXYLATION	12		Rejected!	
GOBP_SPECIES_GO:0018130_HETEROCYCLE_BIOSYNTHETIC_PROCESS	2933		Rejected!	
GOBP_SPECIES_GO:0018149_PEPTIDE_CROSS-LINKING	7		Rejected!	
GOBP_SPECIES_GO:0018158_PROTEIN_OXIDATION	6		Rejected!	
GOBP_SPECIES_GO:0018171_PEPTIDYL-CYSTEINE_OXIDATION	3		Rejected!	
GOBP_SPECIES_GO:0018175_PROTEIN_NUCLEOTIDYLATION	4		Rejected!	
GOBP_SPECIES_GO:0018193_PEPTIDYL-AMINO_ACID_MODIFICATION	861	498		
GOBP_SPECIES_GO:0018195_PEPTIDYL-ARGININE_MODIFICATION	12		Rejected!	
GOBP_SPECIES_GO:0018196_PEPTIDYL-ASPARAGINE_MODIFICATION	9		Rejected!	
GOBP_SPECIES_GO:0018197_PEPTIDYL-ASPARTIC_ACID_MODIFICATION	3		Rejected!	
GOBP_SPECIES_GO:0018198_PEPTIDYL-CYSTEINE_MODIFICATION	24	19		
GOBP_SPECIES_GO:0018199_PEPTIDYL-GLUTAMINE_MODIFICATION	2		Rejected!	
GOBP_SPECIES_GO:0018200_PEPTIDYL-GLUTAMIC_ACID_MODIFICATION	27	22		
GOBP_SPECIES_GO:0018202_PEPTIDYL-HISTIDINE_MODIFICATION	12		Rejected!	
GOBP_SPECIES_GO:0018205_PEPTIDYL-LYSINE_MODIFICATION	453	245		
GOBP_SPECIES_GO:0018206_PEPTIDYL-METHIONINE_MODIFICATION	15		Rejected!	
GOBP_SPECIES_GO:0018208_PEPTIDYL-PROLINE_MODIFICATION	45	34		
GOBP_SPECIES_GO:0018209_PEPTIDYL-SERINE_MODIFICATION	116	75		
GOBP_SPECIES_GO:0018210_PEPTIDYL-THREONINE_MODIFICATION	54	26		
GOBP_SPECIES_GO:0018212_PEPTIDYL-TYROSINE_MODIFICATION	138	70		
GOBP_SPECIES_GO:0018214_PROTEIN_CARBOXYLATION	4		Rejected!	
GOBP_SPECIES_GO:0018216_PEPTIDYL-ARGININE_METHYLATION	11		Rejected!	
GOBP_SPECIES_GO:0018230_PEPTIDYL-L-CYSTEINE_S-PALMITOYLATION	19		Rejected!	
GOBP_SPECIES_GO:0018231_PEPTIDYL-S-DIACYLGLYCEROL-L-CYSTEINE_BIOSYNTHETIC_PROCESS_FROM_PEPTIDYL-CYSTEINE	19		Rejected!	
GOBP_SPECIES_GO:0018242_PROTEIN_O-LINKED_GLYCOSYLATION_VIA_SERINE	2		Rejected!	
GOBP_SPECIES_GO:0018279_PROTEIN_N-LINKED_GLYCOSYLATION_VIA_ASPARAGINE	9		Rejected!	
GOBP_SPECIES_GO:0018315_MOLYBDENUM_INCORPORATION_INTO_MOLYBDENUM-MOLYBDOPTERIN_COMPLEX	2		Rejected!	
GOBP_SPECIES_GO:0018342_PROTEIN_PRENYLATION	8		Rejected!	
GOBP_SPECIES_GO:0018343_PROTEIN_FARNESYLATION	6		Rejected!	
GOBP_SPECIES_GO:0018344_PROTEIN_GERANYLGERANYLATION	8		Rejected!	
GOBP_SPECIES_GO:0018345_PROTEIN_PALMITOYLATION	21	16		
GOBP_SPECIES_GO:0018393_INTERNAL_PEPTIDYL-LYSINE_ACETYLATION	277	146		
GOBP_SPECIES_GO:0018394_PEPTIDYL-LYSINE_ACETYLATION	277	146		
GOBP_SPECIES_GO:0018395_PEPTIDYL-LYSINE_HYDROXYLATION_TO_5-HYDROXY-L-LYSINE	2		Rejected!	
GOBP_SPECIES_GO:0018401_PEPTIDYL-PROLINE_HYDROXYLATION_TO_4-HYDROXY-L-PROLINE	3		Rejected!	
GOBP_SPECIES_GO:0018410_C-TERMINAL_PROTEIN_AMINO_ACID_MODIFICATION	8		Rejected!	
GOBP_SPECIES_GO:0018904_ETHER_METABOLIC_PROCESS	31	21		
GOBP_SPECIES_GO:0018958_PHENOL-CONTAINING_COMPOUND_METABOLIC_PROCESS	200	141		
GOBP_SPECIES_GO:0018990_ECDYSIS,_CHITIN-BASED_CUTICLE	40	22		
GOBP_SPECIES_GO:0018991_OVIPOSITION	36	25		
GOBP_SPECIES_GO:0018992_GERM-LINE_SEX_DETERMINATION	23	15		
GOBP_SPECIES_GO:0018993_SOMATIC_SEX_DETERMINATION	36	22		
GOBP_SPECIES_GO:0019058_VIRAL_LIFE_CYCLE	130	89		
GOBP_SPECIES_GO:0019068_VIRION_ASSEMBLY	3		Rejected!	
GOBP_SPECIES_GO:0019075_VIRUS_MATURATION	3		Rejected!	
GOBP_SPECIES_GO:0019079_VIRAL_GENOME_REPLICATION	23		Rejected!	
GOBP_SPECIES_GO:0019080_VIRAL_GENE_EXPRESSION	11		Rejected!	
GOBP_SPECIES_GO:0019083_VIRAL_TRANSCRIPTION	10		Rejected!	
GOBP_SPECIES_GO:0019094_POLE_PLASM_MR_LOCALIZATION	177	91		
GOBP_SPECIES_GO:0019098_REPRODUCTIVE_BEHAVIOR	330	206		
GOBP_SPECIES_GO:0019099_FEMALE_GERM-LINE_SEX_DETERMINATION	7		Rejected!	
GOBP_SPECIES_GO:0019100_MALE_GERM-LINE_SEX_DETERMINATION	10		Rejected!	
GOBP_SPECIES_GO:0019101_FEMALE_SOMATIC_SEX_DETERMINATION	5		Rejected!	
GOBP_SPECIES_GO:0019102_MALE_SOMATIC_SEX_DETERMINATION	4		Rejected!	
GOBP_SPECIES_GO:0019184_NONRIBOSOMAL_PEPTIDE_BIOSYNTHETIC_PROCESS	13		Rejected!	
GOBP_SPECIES_GO:0019216_REGULATION_OF_LIPID_METABOLIC_PROCESS	115	77		
GOBP_SPECIES_GO:0019217_REGULATION_OF_FATTY_ACID_METABOLIC_PROCESS	12		Rejected!	
GOBP_SPECIES_GO:0019218_REGULATION_OF_STEROID_METABOLIC_PROCESS	19		Rejected!	
GOBP_SPECIES_GO:0019219_REGULATION_OF_NUCLEOBASE-CONTAINING_COMPOUND_METABOLIC_PROCESS	2554		Rejected!	
GOBP_SPECIES_GO:0019220_REGULATION_OF_PHOSPHATE_METABOLIC_PROCESS	425	260		
GOBP_SPECIES_GO:0019221_CYTOKINE-MEDIATED_SIGNALING_PATHWAY	77	57		
GOBP_SPECIES_GO:0019222_REGULATION_OF_METABOLIC_PROCESS	4248		Rejected!	
GOBP_SPECIES_GO:0019226_TRANSMISSION_OF_NERVE_IMPULSE	33		Rejected!	
GOBP_SPECIES_GO:0019228_NEURONAL_ACTION_POTENTIAL	20		Rejected!	
GOBP_SPECIES_GO:0019230_PROPRIOCEPTION	8		Rejected!	
GOBP_SPECIES_GO:0019232_PERCEPTION_OF_RATE_OF_MOVEMENT	6		Rejected!	
GOBP_SPECIES_GO:0019233_SENSORY_PERCEPTION_OF_PAIN	42	22		
GOBP_SPECIES_GO:0019236_RESPONSE_TO_PHEROMONE	30	23		
GOBP_SPECIES_GO:0019243_METHYLGLYOXAL_CATABOLIC_PROCESS_TO_D-LACTATE_VIA_S-LACTOYL-GLUTATHIONE	3		Rejected!	
GOBP_SPECIES_GO:0019254_CARNITINE_METABOLIC_PROCESS,_COA-LINKED	6		Rejected!	
GOBP_SPECIES_GO:0019262_N-ACETYLNEURAMINATE_CATABOLIC_PROCESS	3		Rejected!	
GOBP_SPECIES_GO:0019264_GLYCINE_BIOSYNTHETIC_PROCESS_FROM_SERINE	2		Rejected!	
GOBP_SPECIES_GO:0019265_GLYCINE_BIOSYNTHETIC_PROCESS,_BY_TRANSAMINATION_OF_GLYOXYLATE	4		Rejected!	
GOBP_SPECIES_GO:0019284_L-METHIONINE_SALVAGE_FROM_S-ADENOSYLMETHIONINE	5		Rejected!	
GOBP_SPECIES_GO:0019287_ISOPENTENYL_DIPHOSPHATE_BIOSYNTHETIC_PROCESS,_MEVALONATE_PATHWAY	4		Rejected!	
GOBP_SPECIES_GO:0019288_ISOPENTENYL_DIPHOSPHATE_BIOSYNTHETIC_PROCESS,_METHYLERYTHRITOL_4-PHOSPHATE_PATHWAY	3		Rejected!	
GOBP_SPECIES_GO:0019293_TYROSINE_BIOSYNTHETIC_PROCESS,_BY_OXIDATION_OF_PHENYLALANINE	4		Rejected!	
GOBP_SPECIES_GO:0019299_RHAMNOSE_METABOLIC_PROCESS	6		Rejected!	
GOBP_SPECIES_GO:0019301_RHAMNOSE_CATABOLIC_PROCESS	6		Rejected!	
GOBP_SPECIES_GO:0019303_D-RIBOSE_CATABOLIC_PROCESS	2		Rejected!	
GOBP_SPECIES_GO:0019310_INOSITOL_CATABOLIC_PROCESS	2		Rejected!	
GOBP_SPECIES_GO:0019318_HEXOSE_METABOLIC_PROCESS	126	92		
GOBP_SPECIES_GO:0019319_HEXOSE_BIOSYNTHETIC_PROCESS	20		Rejected!	
GOBP_SPECIES_GO:0019320_HEXOSE_CATABOLIC_PROCESS	23	16		
GOBP_SPECIES_GO:0019321_PENTOSE_METABOLIC_PROCESS	18	17		
GOBP_SPECIES_GO:0019323_PENTOSE_CATABOLIC_PROCESS	10		Rejected!	
GOBP_SPECIES_GO:0019336_PHENOL-CONTAINING_COMPOUND_CATABOLIC_PROCESS	10		Rejected!	
GOBP_SPECIES_GO:0019343_CYSTEINE_BIOSYNTHETIC_PROCESS_VIA_CYSTATHIONINE	8		Rejected!	
GOBP_SPECIES_GO:0019344_CYSTEINE_BIOSYNTHETIC_PROCESS	10		Rejected!	
GOBP_SPECIES_GO:0019346_TRANSSULFURATION	4		Rejected!	
GOBP_SPECIES_GO:0019348_DOLICHOL_METABOLIC_PROCESS	4		Rejected!	
GOBP_SPECIES_GO:0019359_NICOTINAMIDE_NUCLEOTIDE_BIOSYNTHETIC_PROCESS	20		Rejected!	
GOBP_SPECIES_GO:0019362_PYRIDINE_NUCLEOTIDE_METABOLIC_PROCESS	22		Rejected!	
GOBP_SPECIES_GO:0019363_PYRIDINE_NUCLEOTIDE_BIOSYNTHETIC_PROCESS	20		Rejected!	
GOBP_SPECIES_GO:0019365_PYRIDINE_NUCLEOTIDE_SALVAGE	2		Rejected!	
GOBP_SPECIES_GO:0019367_FATTY_ACID_ELONGATION,_SATURATED_FATTY_ACID	30	18		
GOBP_SPECIES_GO:0019368_FATTY_ACID_ELONGATION,_UNSATURATED_FATTY_ACID	30	18		
GOBP_SPECIES_GO:0019369_ARACHIDONIC_ACID_METABOLIC_PROCESS	3		Rejected!	
GOBP_SPECIES_GO:0019370_LEUKOTRIENE_BIOSYNTHETIC_PROCESS	4		Rejected!	
GOBP_SPECIES_GO:0019377_GLYCOLIPID_CATABOLIC_PROCESS	10		Rejected!	
GOBP_SPECIES_GO:0019388_GALACTOSE_CATABOLIC_PROCESS	11		Rejected!	
GOBP_SPECIES_GO:0019395_FATTY_ACID_OXIDATION	85	69		
GOBP_SPECIES_GO:0019400_ALDITOL_METABOLIC_PROCESS	20	17		
GOBP_SPECIES_GO:0019401_ALDITOL_BIOSYNTHETIC_PROCESS	2		Rejected!	
GOBP_SPECIES_GO:0019405_ALDITOL_CATABOLIC_PROCESS	18	15		
GOBP_SPECIES_GO:0019407_HEXITOL_CATABOLIC_PROCESS	5		Rejected!	
GOBP_SPECIES_GO:0019408_DOLICHOL_BIOSYNTHETIC_PROCESS	2		Rejected!	
GOBP_SPECIES_GO:0019427_ACETYL-COA_BIOSYNTHETIC_PROCESS_FROM_ACETATE	3		Rejected!	
GOBP_SPECIES_GO:0019430_REMOVAL_OF_SUPEROXIDE_RADICALS	15	15		
GOBP_SPECIES_GO:0019432_TRIGLYCERIDE_BIOSYNTHETIC_PROCESS	44	27		
GOBP_SPECIES_GO:0019433_TRIGLYCERIDE_CATABOLIC_PROCESS	30	18		
GOBP_SPECIES_GO:0019438_AROMATIC_COMPOUND_BIOSYNTHETIC_PROCESS	2920		Rejected!	
GOBP_SPECIES_GO:0019439_AROMATIC_COMPOUND_CATABOLIC_PROCESS	388	259		
GOBP_SPECIES_GO:0019441_TRYPTOPHAN_CATABOLIC_PROCESS_TO_KYNURENINE	3		Rejected!	
GOBP_SPECIES_GO:0019464_GLYCINE_DECARBOXYLATION_VIA_GLYCINE_CLEAVAGE_SYSTEM	8		Rejected!	
GOBP_SPECIES_GO:0019474_L-LYSINE_CATABOLIC_PROCESS_TO_ACETYL-COA	5		Rejected!	
GOBP_SPECIES_GO:0019477_L-LYSINE_CATABOLIC_PROCESS	5		Rejected!	
GOBP_SPECIES_GO:0019478_D-AMINO_ACID_CATABOLIC_PROCESS	3		Rejected!	
GOBP_SPECIES_GO:0019481_L-ALANINE_CATABOLIC_PROCESS,_BY_TRANSAMINATION	6		Rejected!	
GOBP_SPECIES_GO:0019482_BETA-ALANINE_METABOLIC_PROCESS	14		Rejected!	
GOBP_SPECIES_GO:0019483_BETA-ALANINE_BIOSYNTHETIC_PROCESS	14		Rejected!	
GOBP_SPECIES_GO:0019493_ARGININE_CATABOLIC_PROCESS_TO_PROLINE	6		Rejected!	
GOBP_SPECIES_GO:0019509_L-METHIONINE_SALVAGE_FROM_METHYLTHIOADENOSINE	16		Rejected!	
GOBP_SPECIES_GO:0019510_S-ADENOSYLHOMOCYSTEINE_CATABOLIC_PROCESS	6		Rejected!	
GOBP_SPECIES_GO:0019511_PEPTIDYL-PROLINE_HYDROXYLATION	4		Rejected!	
GOBP_SPECIES_GO:0019532_OXALATE_TRANSPORT	14		Rejected!	
GOBP_SPECIES_GO:0019538_PROTEIN_METABOLIC_PROCESS	4282		Rejected!	
GOBP_SPECIES_GO:0019541_PROPIONATE_METABOLIC_PROCESS	3		Rejected!	
GOBP_SPECIES_GO:0019543_PROPIONATE_CATABOLIC_PROCESS	2		Rejected!	
GOBP_SPECIES_GO:0019544_ARGININE_CATABOLIC_PROCESS_TO_GLUTAMATE	6		Rejected!	
GOBP_SPECIES_GO:0019547_ARGININE_CATABOLIC_PROCESS_TO_ORNITHINE	4		Rejected!	
GOBP_SPECIES_GO:0019556_HISTIDINE_CATABOLIC_PROCESS_TO_GLUTAMATE_AND_FORMAMIDE	3		Rejected!	
GOBP_SPECIES_GO:0019557_HISTIDINE_CATABOLIC_PROCESS_TO_GLUTAMATE_AND_FORMATE	3		Rejected!	
